0610009O20Rik_ENSMUSG00000024442.5
1700086O06Rik_ENSMUSG00000097080.7
1810055G02Rik_ENSMUSG00000035372.1
2310039H08Rik_ENSMUSG00000062619.5
2410015M20Rik_ENSMUSG00000049760.5
2510009E07Rik_ENSMUSG00000043391.9
2700062C07Rik_ENSMUSG00000024273.7
2810403A07Rik_ENSMUSG00000028060.14
3110082I17Rik_ENSMUSG00000053553.11
4930524J08Rik_ENSMUSG00000035364.1
A430046D13Rik_ENSMUSG00000097353.1
A4galt_ENSMUSG00000047878.13
Aaed1_ENSMUSG00000021482.10
Aagab_ENSMUSG00000037257.8
Aak1_ENSMUSG00000057230.13
Aamdc_ENSMUSG00000035642.16
Aamp_ENSMUSG00000006299.13
Aar2_ENSMUSG00000027628.10
Aard_ENSMUSG00000068522.4
Aars_ENSMUSG00000031960.14
Aasdhppt_ENSMUSG00000025894.11
Aatf_ENSMUSG00000018697.14
Abat_ENSMUSG00000057880.12
Abca1_ENSMUSG00000015243.4
Abca2_ENSMUSG00000026944.18
Abca8a_ENSMUSG00000041828.15
Abca8b_ENSMUSG00000020620.14
Abca9_ENSMUSG00000041797.7
Abcb1a_ENSMUSG00000040584.8
Abcb8_ENSMUSG00000028973.18
Abcc5_ENSMUSG00000022822.15
Abcc9_ENSMUSG00000030249.15
Abcd1_ENSMUSG00000031378.14
Abcd2_ENSMUSG00000055782.9
Abcd3_ENSMUSG00000028127.10
Abcd4_ENSMUSG00000021240.6
Abce1_ENSMUSG00000058355.8
Abcf1_ENSMUSG00000038762.15
Abcf2_ENSMUSG00000028953.10
Abcf3_ENSMUSG00000003234.15
Abcg2_ENSMUSG00000029802.13
Abhd10_ENSMUSG00000033157.16
Abhd11_ENSMUSG00000040532.14
Abhd12_ENSMUSG00000032046.15
Abhd13_ENSMUSG00000040396.12
Abhd14a_ENSMUSG00000042210.17
Abhd16a_ENSMUSG00000007036.15
Abhd17a_ENSMUSG00000003346.14
Abhd17b_ENSMUSG00000047368.3
Abhd17c_ENSMUSG00000038459.10
Abhd2_ENSMUSG00000039202.12
Abhd4_ENSMUSG00000040997.13
Abhd5_ENSMUSG00000032540.16
Abhd6_ENSMUSG00000025277.14
Abhd8_ENSMUSG00000007950.9
Abi1_ENSMUSG00000058835.14
Abi2_ENSMUSG00000026782.15
Abi3bp_ENSMUSG00000035258.14
Abl1_ENSMUSG00000026842.16
Abl2_ENSMUSG00000026596.13
Ablim1_ENSMUSG00000025085.16
Ablim3_ENSMUSG00000032735.14
Abracl_ENSMUSG00000078453.3
Abra_ENSMUSG00000042895.6
Abr_ENSMUSG00000017631.18
Abt1_ENSMUSG00000036376.3
Abtb1_ENSMUSG00000030083.11
Abtb2_ENSMUSG00000032724.5
AC012382.1_ENSMUSG00000078192.5
AC015800.4_ENSMUSG00000059277.12
AC025622.3_ENSMUSG00000082394.1
AC026478.1_ENSMUSG00000062353.6
AC083948.7_ENSMUSG00000080972.1
AC084109.5_ENSMUSG00000085042.8
AC101789.1_ENSMUSG00000090142.2
AC102077.1_ENSMUSG00000025102.14
AC102096.1_ENSMUSG00000024410.14
AC102483.1_ENSMUSG00000081051.4
AC102628.1_ENSMUSG00000069727.5
AC102906.1_ENSMUSG00000087412.4
AC103620.1_ENSMUSG00000081441.3
AC103623.1_ENSMUSG00000083477.2
AC104921.1_ENSMUSG00000074024.5
AC107763.2_ENSMUSG00000078183.3
AC107815.5_ENSMUSG00000083396.1
AC107822.5_ENSMUSG00000086742.8
AC108424.1_ENSMUSG00000056836.8
AC109220.5_ENSMUSG00000083820.1
AC110186.1_ENSMUSG00000086583.3
AC110538.1_ENSMUSG00000082938.1
AC114629.2_ENSMUSG00000085812.1
AC114920.2_ENSMUSG00000038005.15
AC115033.1_ENSMUSG00000087221.3
AC115631.3_ENSMUSG00000085172.1
AC115748.2_ENSMUSG00000089991.2
AC115920.2_ENSMUSG00000082935.3
AC116511.4_ENSMUSG00000084960.1
AC116581.2_ENSMUSG00000082609.1
AC117550.1_ENSMUSG00000079138.3
AC119212.1_ENSMUSG00000086925.1
AC119856.2_ENSMUSG00000080002.2
AC119884.2_ENSMUSG00000083380.1
AC119897.1_ENSMUSG00000049881.13
AC119899.1_ENSMUSG00000051116.6
AC120860.1_ENSMUSG00000084106.4
AC121113.1_ENSMUSG00000006010.14
AC121548.2_ENSMUSG00000084235.2
AC121575.1_ENSMUSG00000084817.3
AC121576.1_ENSMUSG00000063087.14
AC121838.2_ENSMUSG00000053963.7
AC122186.1_ENSMUSG00000086240.4
AC122223.2_ENSMUSG00000100215.1
AC122291.2_ENSMUSG00000085442.1
AC122339.3_ENSMUSG00000080893.1
AC122438.1_ENSMUSG00000084111.4
AC122462.1_ENSMUSG00000027811.9
AC122514.1_ENSMUSG00000071041.4
AC122831.1_ENSMUSG00000089999.1
AC123684.1_ENSMUSG00000036873.13
AC123686.4_ENSMUSG00000039244.10
AC123837.1_ENSMUSG00000084230.1
AC124389.3_ENSMUSG00000082769.3
AC124730.7_ENSMUSG00000081228.1
AC124976.1_ENSMUSG00000082896.1
AC126938.1_ENSMUSG00000042744.16
AC127338.1_ENSMUSG00000099647.1
AC127339.2_ENSMUSG00000047635.6
AC127348.2_ENSMUSG00000081431.1
AC127419.2_ENSMUSG00000080021.5
AC129188.1_ENSMUSG00000053080.10
AC129337.1_ENSMUSG00000043629.12
AC129609.2_ENSMUSG00000067121.2
AC130827.2_ENSMUSG00000021458.17
AC131065.2_ENSMUSG00000024571.14
AC131791.1_ENSMUSG00000040139.14
